Country (or dependent territory),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Afghanistan,,,,,,,,,,
Albania,"2,008","2,275","2,435","2,508","2,595","2,584","2,729","2,723","2,724","3,047"
Algeria,"4,641","5,069","5,550","5,887","6,237","6,483","6,427","6,377","6,287","6,679"
Angola,"1,685","1,715","1,774","1,873","2,003","1,898","1,937","2,017","2,157","2,182"
Antigua and Barbuda,"3,901","4,463","4,791","5,324","6,173","6,974","8,072","8,982","9,929","10,957"
Argentina,"6,318","6,397","6,471","6,880","7,145","6,746","7,280","7,568","7,587","7,240"
Armenia,,,,,,,,,,
Australia,"10,480","11,744","12,276","12,541","13,639","14,635","15,070","15,958","16,917","18,116"
Austria,"11,224","12,235","13,225","14,175","14,725","15,527","16,193","16,863","17,599","18,949"
Azerbaijan,,,,,,,,,,
Bahamas,"11,878","12,375","13,651","14,817","15,368","16,297","16,768","17,535","18,180","18,995"
Bahrain,"17,583","19,001","20,720","22,285","23,258","22,987","22,761","22,262","23,566","23,870"
Bangladesh,498,560,597,633,664,693,715,735,759,801
Barbados,"5,798","6,219","6,281","6,562","7,039","7,345","7,875","8,286","8,876","9,553"
Belarus,,,,,,,,,,
Belgium,"10,820","11,788","12,605","13,138","13,947","14,624","15,189","15,927","17,244","18,439"
Belize,"1,367","1,495","1,441","1,546","1,734","1,717","1,826","2,226","2,504","2,927"
Benin,741,798,836,825,831,866,880,857,889,871
Bhutan,474,573,642,700,761,797,850,"1,013","1,169","1,258"
Bolivia,"2,090","2,117","2,116","2,067","2,093","2,080","2,025","2,085","2,175","2,297"
Bosnia and Herzegovina,,,,,,,,,,
Botswana,"1,832","2,127","2,525","2,804","2,982","3,197","3,416","3,883","4,785","5,021"
Brazil,"4,788","4,895","5,117","5,029","5,369","5,856","6,298","6,563","6,687","7,044"
Brunei,,,,,,"54,530","53,033","52,806","52,743","54,888"
Bulgaria,"4,456","5,113","5,639","6,020","6,510","6,841","7,366","7,941","8,465","8,813"
